-
512
1024|888
2048|874
4096|868
8192|864
16384|854
32768|861
65536|2612
131072|2634
262144|3392
524288|4091
1048576|4156
2097152|4099
4194304|4120
8388608|4099
16777216|4194
33554432|14852
67108864|15154
-
256
1024|855
2048|862
4096|857
8192|872
16384|864
32768|861
65536|2613
131072|2620
262144|2806
524288|3946
1048576|4146
2097152|4203
4194304|4221
8388608|4221
16777216|4335
33554432|12106
67108864|12660
-
128
1024|857
2048|858
4096|854
8192|873
16384|857
32768|860
65536|2590
131072|2622
262144|2836
524288|3917
1048576|4041
2097152|4067
4194304|4070
8388608|4053
16777216|4199
33554432|12071
67108864|11372
-
64
1024|859
2048|852
4096|869
8192|860
16384|847
32768|862
65536|2702
131072|2699
262144|2787
524288|3927
1048576|3992
2097152|3997
4194304|4012
8388608|4011
16777216|4170
33554432|7893
67108864|7919
-
32
1024|871
2048|855
4096|860
8192|856
16384|867
32768|856
65536|1315
131072|1355
262144|1392
524288|1979
1048576|1998
2097152|2019
4194304|2018
8388608|1998
16777216|2036
33554432|4098
67108864|3945
